RepRapFirmware height map file v2 generated at 2022-06-19 11:52, mean error 0.634, deviation 0.128
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-120.00,120.10,-120.00,120.10,150.00,30.00,30.00,9,9
      0,      0,  0.938,  0.907,  0.901,  0.905,  0.892,      0,      0
      0,  0.787,  0.812,  0.843,  0.807,  0.813,  0.798,  0.782,      0
  0.625,  0.654,  0.708,  0.729,  0.738,  0.768,  0.770,  0.731,  0.677
  0.569,  0.638,  0.667,  0.644,  0.656,  0.693,  0.682,  0.644,  0.573
  0.464,  0.543,  0.593,  0.581,  0.593,  0.594,  0.643,  0.618,  0.556
  0.431,  0.512,  0.551,  0.574,  0.582,  0.552,  0.506,  0.473,  0.413
  0.389,  0.477,  0.550,  0.605,  0.593,  0.599,  0.556,  0.494,  0.363
      0,  0.500,  0.556,  0.599,  0.620,  0.617,  0.574,  0.518,      0
      0,      0,  0.580,  0.603,  0.618,  0.614,  0.586,      0,      0
